state,phi_intergranular,phi_ic,phi_total,delta_lambda_percent
dry,0.06697479,0.00016807,0.06714286,-0.95207678
dry,0.06882353,0.00016807,0.06899160,-0.94983543
dry,0.07067227,0.00016807,0.07084034,-0.94760439
dry,0.07252101,0.00016807,0.07268908,-0.94538361
dry,0.07436975,0.00016807,0.07453782,-0.94317300
dry,0.07621849,0.00016807,0.07638655,-0.94097249
dry,0.07806723,0.00016807,0.07823529,-0.93878202
dry,0.07991597,0.00016807,0.08008403,-0.93660151
dry,0.08176471,0.00016807,0.08193277,-0.93443090
dry,0.08361345,0.00016807,0.08378151,-0.93227012
dry,0.08546218,0.00016807,0.08563025,-0.93011910
dry,0.08731092,0.00016807,0.08747899,-0.92797777
dry,0.08915966,0.00016807,0.08932773,-0.92584607
dry,0.09100840,0.00016807,0.09117647,-0.92372392
dry,0.09285714,0.00016807,0.09302521,-0.92161127
dry,0.09470588,0.00016807,0.09487395,-0.91950805
dry,0.09655462,0.00016807,0.09672269,-0.91741420
dry,0.09840336,0.00016807,0.09857143,-0.91532965
dry,0.10025210,0.00016807,0.10042017,-0.91325434
dry,0.10210084,0.00016807,0.10226891,-0.91118820
dry,0.10394958,0.00016807,0.10411765,-0.90913117
dry,0.10579832,0.00016807,0.10596639,-0.90708320
dry,0.10764706,0.00016807,0.10781513,-0.90504422
dry,0.10949580,0.00016807,0.10966387,-0.90301418
dry,0.11134454,0.00016807,0.11151261,-0.90099300
dry,0.11319328,0.00016807,0.11336134,-0.89898064
dry,0.11504202,0.00016807,0.11521008,-0.89697702
dry,0.11689076,0.00016807,0.11705882,-0.89498211
dry,0.11873950,0.00016807,0.11890756,-0.89299583
dry,0.12058824,0.00016807,0.12075630,-0.89101813
dry,0.12243697,0.00016807,0.12260504,-0.88904896
dry,0.12428571,0.00016807,0.12445378,-0.88708825
dry,0.12613445,0.00016807,0.12630252,-0.88513595
dry,0.12798319,0.00016807,0.12815126,-0.88319201
dry,0.12983193,0.00016807,0.13000000,-0.88125636
dry,0.13168067,0.00016807,0.13184874,-0.87932897
dry,0.13352941,0.00016807,0.13369748,-0.87740977
dry,0.13537815,0.00016807,0.13554622,-0.87549870
dry,0.13722689,0.00016807,0.13739496,-0.87359572
dry,0.13907563,0.00016807,0.13924370,-0.87170078
dry,0.14092437,0.00016807,0.14109244,-0.86981382
dry,0.14277311,0.00016807,0.14294118,-0.86793478
dry,0.14462185,0.00016807,0.14478992,-0.86606362
