sample_id,state,measurement_col,phi,matrix_tc,fluid_tc,model,alpha_fit,alpha_source,alpha_fit_mode,uses_alpha,observed_tc,predicted_tc,error,abs_error,abs_pct_error,is_calibration_state
113603,oil,TC oil,0.06812695477572067,2.98,0.13,MT,0.07041253950609525,per_sample,per_sample,True,2.7211499999999997,2.457505766563491,-0.26364423343650856,0.26364423343650856,9.688706371810028,False
113603,brine_avg,TC 60,0.06812695477572067,2.98,0.6,MT,0.07041253950609525,per_sample,per_sample,True,2.9926125000000003,2.693044079871049,-0.29956842012895146,0.29956842012895146,10.010264280088098,False
113603,dry,TC air,0.06812695477572067,2.98,0.025,SCA,0.0815806151419842,per_sample,per_sample,True,2.3427999999999995,2.342800585835118,5.858351186383004e-07,5.858351186383004e-07,2.5005767399620136e-05,True
113603,oil,TC oil,0.06812695477572067,2.98,0.13,SCA,0.0815806151419842,per_sample,per_sample,True,2.7211499999999997,2.456769820928646,-0.2643801790713538,0.2643801790713538,9.715751761988638,False
113603,brine_avg,TC 60,0.06812695477572067,2.98,0.6,SCA,0.0815806151419842,per_sample,per_sample,True,2.9926125000000003,2.692376080977688,-0.30023641902231235,0.30023641902231235,10.032585876798695,False
113603,dry,TC air,0.06812695477572067,2.98,0.025,DEM,0.07958107452882497,per_sample,per_sample,True,2.3427999999999995,2.3428002531800147,2.531800151750474e-07,2.531800151750474e-07,1.0806727641072539e-05,True
113603,oil,TC oil,0.06812695477572067,2.98,0.13,DEM,0.07958107452882497,per_sample,per_sample,True,2.7211499999999997,2.462326953088859,-0.2588230469111408,0.2588230469111408,9.511531775578002,False
113603,brine_avg,TC 60,0.06812695477572067,2.98,0.6,DEM,0.07958107452882497,per_sample,per_sample,True,2.9926125000000003,2.695463660777958,-0.2971488392220425,0.2971488392220425,9.929412485647322,False
113603,dry,TC air,0.06812695477572067,2.98,0.025,GSA,0.0704125395060954,per_sample,per_sample,True,2.3427999999999995,2.342801225146953,1.2251469536650461e-06,1.2251469536650461e-06,5.229413324505063e-05,True
113603,oil,TC oil,0.06812695477572067,2.98,0.13,GSA,0.0704125395060954,per_sample,per_sample,True,2.7211499999999997,2.457505766563491,-0.26364423343650856,0.26364423343650856,9.688706371810028,False
113603,brine_avg,TC 60,0.06812695477572067,2.98,0.6,GSA,0.0704125395060954,per_sample,per_sample,True,2.9926125000000003,2.693044079871049,-0.29956842012895146,0.29956842012895146,10.010264280088098,False
113603,dry,TC air,0.06812695477572067,2.98,0.025,Bruggeman,,,per_sample,False,2.3427999999999995,2.679429486166996,0.3366294861669963,0.3366294861669963,14.368682182303072,True
113603,oil,TC oil,0.06812695477572067,2.98,0.13,Bruggeman,,,per_sample,False,2.7211499999999997,2.695614718390474,-0.025535281609525562,0.025535281609525562,0.9384003678417421,False
113603,brine_avg,TC 60,0.06812695477572067,2.98,0.6,Bruggeman,,,per_sample,False,2.9926125000000003,2.760626326100678,-0.23198617389932252,0.23198617389932252,7.751961668920466,False
113619,dry,TC air,0.08326069547301873,2.98,0.025,MT,0.07519234831981385,per_sample,per_sample,True,2.252275,2.2522751855360834,1.8553608338578442e-07,1.8553608338578442e-07,8.237718901367924e-06,True
113619,oil,TC oil,0.08326069547301873,2.98,0.13,MT,0.07519234831981385,per_sample,per_sample,True,2.5288521096787857,2.3736120975787536,-0.15524001210003213,0.15524001210003213,6.138754081580148,False
113619,brine_avg,TC 60,0.08326069547301873,2.98,0.6,MT,0.07519234831981385,per_sample,per_sample,True,2.82315,2.636597022685496,-0.18655297731450426,0.18655297731450426,6.607972559534714,False
113619,dry,TC air,0.08326069547301873,2.98,0.025,SCA,0.08904041555673727,per_sample,per_sample,True,2.252275,2.2522749694702924,-3.0529707650828186e-08,3.0529707650828186e-08,1.3555053290929476e-06,True
113619,oil,TC oil,0.08326069547301873,2.98,0.13,SCA,0.08904041555673727,per_sample,per_sample,True,2.5288521096787857,2.3726832235239392,-0.15616888615484648,0.15616888615484648,6.175485136403766,False
