state,phi_total,phi_mc_abs,phi_pore,lambda_basic,lambda_dual,delta_lambda_abs,delta_lambda_pct,alpha_basic,alpha_pore,alpha_mc
dry,0.20429999999999998,0.0025,0.20179999999999998,3.568878200211557,3.126440373354982,-0.44243782685657473,-12.397111978502034,0.5,0.5,0.0001
dry,0.2072,0.0025,0.2047,3.550718979987721,3.1111203805794494,-0.4395985994082716,-12.380551710397306,0.5,0.5,0.0001
dry,0.2101,0.0025,0.2076,3.532613610209493,3.095840161516552,-0.4367734486929411,-12.364031192956856,0.5,0.5,0.0001
dry,0.213,0.0025,0.2105,3.5145618516944834,3.080599561476529,-0.4339622902179543,-12.347550236133335,0.5,0.5,0.0001
dry,0.21589999999999998,0.0025,0.21339999999999998,3.496563466674678,3.065398426570749,-0.4311650401039291,-12.331108650345138,0.5,0.5,0.0001
dry,0.2188,0.0025,0.2163,3.4786182187860026,3.0502366037065296,-0.42838161507947303,-12.314706246463956,0.5,0.5,0.0001
dry,0.2217,0.0025,0.2192,3.460725873057973,3.0351139405820033,-0.42561193247596973,-12.29834283580195,0.5,0.5,0.0001
dry,0.2246,0.0025,0.2221,3.4428861959034434,3.020030285681011,-0.4228559102224323,-12.282018230099274,0.5,0.5,0.0001
dry,0.22749999999999998,0.0025,0.22499999999999998,3.4250989551084356,3.0049854882680442,-0.4201134668403914,-12.265732241510989,0.5,0.5,0.0001
dry,0.2304,0.0025,0.2279,3.407363919822067,2.989979398383229,-0.4173845214388381,-12.249484682593984,0.5,0.5,0.0001
dry,0.2333,0.0025,0.2308,3.3896808605465636,2.9750118668373333,-0.41466899370923027,-12.23327536629415,0.5,0.5,0.0001
dry,0.2362,0.0025,0.2337,3.37204954912736,2.960082745206833,-0.4119668039205271,-12.217104105932798,0.5,0.5,0.0001
dry,0.23909999999999998,0.0025,0.23659999999999998,3.3544697587432855,2.945191885828999,-0.4092778729142865,-12.200970715193387,0.5,0.5,0.0001
dry,0.242,0.0025,0.2395,3.3369412638968394,2.9303391417970324,-0.40660212209980706,-12.184875008107936,0.5,0.5,0.0001
dry,0.2449,0.0025,0.2424,3.3194638404045493,2.915524366955231,-0.40393947344931824,-12.168816799043347,0.5,0.5,0.0001
