phi_total,phi_mc_abs,delta_lambda_pct
0.0245,0.0027687499999999995,-14.746836984215562
0.0245,0.0028374999999999997,-15.057586242523517
0.0245,0.0029062499999999995,-15.36606456339199
0.0245,0.0029749999999999998,-15.672296750008211
0.0245,0.0030437499999999996,-15.976307245668973
0.0245,0.0031125,-16.278120140284553
0.0245,0.0031812499999999996,-16.577759176741854
0.0245,0.00325,-16.875247757130914
0.0245,0.0033187499999999997,-17.17060894883754
0.0245,0.0033874999999999995,-17.46386549050576
0.0245,0.0034562499999999997,-17.755039797873433
0.0245,0.0035249999999999995,-18.0441539694837
0.0245,0.0035937499999999997,-18.331229792275987
0.0245,0.0036624999999999995,-18.61628874705877
0.0245,0.0037312499999999998,-18.899352013867844
0.0245,0.0037999999999999996,-19.18044047721195
0.0245,0.0038687499999999994,-19.4595747312095
0.0245,0.0039375,-19.73677508461807
0.0245,0.004006249999999999,-20.012061565760142
0.0245,0.004075,-20.28545392734674
0.0245,0.00414375,-20.55697165120234
0.0245,0.004212499999999999,-20.826633952892323
0.0245,0.0042812499999999995,-21.09445978625654
0.0245,0.00435,-21.36046784784989
0.0245,0.004418749999999999,-21.62467658129348
0.0245,0.0044875,-21.887104181537094
0.0245,0.0045562499999999995,-22.147768599036386
0.0245,0.004624999999999999,-22.40668754384563
0.0245,0.00469375,-22.66387848962893
0.0245,0.004762499999999999,-22.919358677591056
0.0245,0.004831249999999999,-23.173145120330425
0.0245,0.0049,-23.425254605615397
0.0245,0.004968749999999999,-23.675703700086117
0.0245,0.005037499999999999,-23.924508752883547
0.0245,0.00510625,-24.171685899207027
0.0245,0.005174999999999999,-24.41725106380241
0.0245,0.00524375,-24.661219964382113
0.0245,0.0053124999999999995,-24.903608114978724
0.0245,0.005381249999999999,-25.14443082923362
0.0245,0.00545,-25.383703223622
0.0245,0.005518749999999999,-25.62144022061592
0.0245,0.005587499999999999,-25.857656551786658
0.0245,0.00565625,-26.092366760847696
0.0245,0.005724999999999999,-26.325585206639484
0.0245,0.0057937499999999986,-26.557326066057925
0.0245,0.0058625,-26.787603336926928
0.0245,0.005931249999999999,-27.01643084081696
0.0245,0.006,-27.24382222581043
0.0274,0.0005,-3.026413370041167
0.0274,0.00056875,-3.428204493914554
0.0274,0.0006375,-3.8266619979188077
0.0274,0.00070625,-4.221827198708641
0.0274,0.000775,-4.613740732980212
0.0274,0.00084375,-5.002442571401606
0.0274,0.0009124999999999999,-5.38797203220225
0.0274,0.00098125,-5.770367794430906
0.0274,0.00105,-6.149667910891862
0.0274,0.00111875,-6.525909820767934
0.0274,0.0011875,-6.899130361939583
0.0274,0.00125625,-7.269365783008349
0.0274,0.0013249999999999998,-7.636651755032967
0.0274,0.00139375,-8.00102338298612
0.0274,0.0014624999999999998,-8.362515216939416
0.0274,0.0015312499999999998,-8.721161262984499
0.0274,0.0015999999999999999,-9.076994993896845
0.0274,0.0016687499999999999,-9.430049359550148
0.0274,0.0017375,-9.78035679708715
0.0274,0.00180625,-10.127949240854301
0.0274,0.001875,-10.47285813210629
0.0274,0.0019437499999999997,-10.815114428486517
0.0274,0.0020124999999999995,-11.154748613289733
0.0274,0.0020812499999999998,-11.49179070451285
0.0274,0.00215,-11.82627026369873
0.0274,0.00221875,-12.158216404579791
0.0274,0.0022874999999999996,-12.487657801525197
0.0274,0.00235625,-12.814622697798121
0.0274,0.0024249999999999996,-13.139138913627088
0.0274,0.00249375,-13.461233854096994
0.0274,0.0025624999999999997,-13.780934516863843
0.0274,0.00263125,-14.098267499698288
0.0274,0.0026999999999999997,-14.413259007862091
0.0274,0.0027687499999999995,-14.725934861321958
0.0274,0.0028374999999999997,-15.036320501804814
0.0274,0.0029062499999999995,-15.344440999698675
0.0274,0.0029749999999999998,-15.650321060802792
0.0274,0.0030437499999999996,-15.953985032931445
0.0274,0.0031125,-16.255456912374314
0.0274,0.0031812499999999996,-16.55476035021776
0.0274,0.00325,-16.85191865853004
0.0274,0.0033187499999999997,-17.14695481641399
0.0274,0.0033874999999999995,-17.43989147593062
0.0274,0.0034562499999999997,-17.730750967896487
0.0274,0.0035249999999999995,-18.019555307558484
0.0274,0.0035937499999999997,-18.306326200148476
0.0274,0.0036624999999999995,-18.591085046321087
0.0274,0.0037312499999999998,-18.873852947477662
0.0274,0.0037999999999999996,-19.15465071097852
0.0274,0.0038687499999999994,-19.433498855247056
0.0274,0.0039375,-19.710417614767646
0.0274,0.004006249999999999,-19.98542694498023
0.0274,0.004075,-20.25854652707402
0.0274,0.00414375,-20.529795772682725
0.0274,0.004212499999999999,-20.799193828483567
0.0274,0.0042812499999999995,-21.066759580702588
0.0274,0.00435,-21.332511659528215
0.0274,0.004418749999999999,-21.596468443435462
0.0274,0.0044875,-21.858648063422752
0.0274,0.0045562499999999995,-22.11906840716345
0.0274,0.004624999999999999,-22.37774712307411
0.0274,0.00469375,-22.634701624301385
0.0274,0.004762499999999999,-22.88994909262949
0.0274,0.004831249999999999,-23.14350648230992
0.0274,0.0049,-23.395390523815564
0.0274,0.004968749999999999,-23.64561772752057
0.0274,0.005037499999999999,-23.894204387307838
0.0274,0.00510625,-24.141166584105942
