state,phi_total,alpha_pore,phi_mc_abs,delta_lambda_pct
dry,0.18,0.053125000000000006,0.004418749999999999,-32.312894755299375
dry,0.18,0.053125000000000006,0.0044875,-32.418811327377746
dry,0.18,0.053125000000000006,0.0045562499999999995,-32.52439276618292
dry,0.18,0.053125000000000006,0.004624999999999999,-32.62964065980778
dry,0.18,0.053125000000000006,0.00469375,-32.734556586327066
dry,0.18,0.053125000000000006,0.004762499999999999,-32.83914211387623
dry,0.18,0.053125000000000006,0.004831249999999999,-32.94339880072958
dry,0.18,0.053125000000000006,0.0049,-33.04732819537768
dry,0.18,0.053125000000000006,0.004968749999999999,-33.150931836603995
dry,0.18,0.053125000000000006,0.005037499999999999,-33.25421125356083
dry,0.18,0.053125000000000006,0.00510625,-33.357167965844596
dry,0.18,0.053125000000000006,0.005174999999999999,-33.459803483570326
dry,0.18,0.053125000000000006,0.00524375,-33.56211930744543
dry,0.18,0.053125000000000006,0.0053124999999999995,-33.66411692884301
dry,0.18,0.053125000000000006,0.005381249999999999,-33.76579782987415
dry,0.18,0.053125000000000006,0.00545,-33.867163483459834
dry,0.18,0.053125000000000006,0.005518749999999999,-33.96821535340196
dry,0.18,0.053125000000000006,0.005587499999999999,-34.06895489445386
dry,0.18,0.053125000000000006,0.00565625,-34.16938355239015
dry,0.18,0.053125000000000006,0.005724999999999999,-34.26950276407578
dry,0.18,0.053125000000000006,0.0057937499999999986,-34.36931395753468
dry,0.18,0.053125000000000006,0.0058625,-34.46881855201755
dry,0.18,0.053125000000000006,0.005931249999999999,-34.56801795806925
dry,0.18,0.053125000000000006,0.006,-34.66691357759534
dry,0.18,0.05625,0.0005,-24.120179792450752
dry,0.18,0.05625,0.00056875,-24.25422728198907
dry,0.18,0.05625,0.0006375,-24.38779668434296
dry,0.18,0.05625,0.00070625,-24.520890552642822
dry,0.18,0.05625,0.000775,-24.653511421872068
dry,0.18,0.05625,0.00084375,-24.785661809028056
dry,0.18,0.05625,0.0009124999999999999,-24.917344213281286
dry,0.18,0.05625,0.00098125,-25.048561116132962
dry,0.18,0.05625,0.00105,-25.1793149815709
dry,0.18,0.05625,0.00111875,-25.309608256223676
dry,0.18,0.05625,0.0011875,-25.439443369513373
dry,0.18,0.05625,0.00125625,-25.568822733806442
dry,0.18,0.05625,0.0013249999999999998,-25.697748744563153
dry,0.18,0.05625,0.00139375,-25.826223780485453
dry,0.18,0.05625,0.0014624999999999998,-25.954250203663292
dry,0.18,0.05625,0.0015312499999999998,-26.081830359719294
dry,0.18,0.05625,0.0015999999999999999,-26.20896657795208
dry,0.18,0.05625,0.0016687499999999999,-26.33566117147802
dry,0.18,0.05625,0.0017375,-26.461916437371517
dry,0.18,0.05625,0.00180625,-26.58773465680377
dry,0.18,0.05625,0.001875,-26.71311809518027
dry,0.18,0.05625,0.0019437499999999997,-26.83806900227669
dry,0.18,0.05625,0.0020124999999999995,-26.962589612373456
dry,0.18,0.05625,0.0020812499999999998,-27.08668214438897
dry,0.18,0.05625,0.00215,-27.210348802011364
dry,0.18,0.05625,0.00221875,-27.333591773828964
dry,0.18,0.05625,0.0022874999999999996,-27.456413233459372
dry,0.18,0.05625,0.00235625,-27.578815339677323
dry,0.18,0.05625,0.0024249999999999996,-27.70080023654108
dry,0.18,0.05625,0.00249375,-27.822370053517695
dry,0.18,0.05625,0.0025624999999999997,-27.943526905606888
dry,0.18,0.05625,0.00263125,-28.064272893463666
dry,0.18,0.05625,0.0026999999999999997,-28.18461010351984
dry,0.18,0.05625,0.0027687499999999995,-28.3045406081041
dry,0.18,0.05625,0.0028374999999999997,-28.424066465560983
dry,0.18,0.05625,0.0029062499999999995,-28.543189720368666
dry,0.18,0.05625,0.0029749999999999998,-28.661912403255574
dry,0.18,0.05625,0.0030437499999999996,-28.780236531315673
dry,0.18,0.05625,0.0031125,-28.898164108122728
dry,0.18,0.05625,0.0031812499999999996,-29.01569712384352
dry,0.18,0.05625,0.00325,-29.132837555349614
dry,0.18,0.05625,0.0033187499999999997,-29.249587366328342
dry,0.18,0.05625,0.0033874999999999995,-29.365948507392485
dry,0.18,0.05625,0.0034562499999999997,-29.481922916188857
dry,0.18,0.05625,0.0035249999999999995,-29.59751251750589
dry,0.18,0.05625,0.0035937499999999997,-29.712719223380187
dry,0.18,0.05625,0.0036624999999999995,-29.827544933201864
dry,0.18,0.05625,0.0037312499999999998,-29.941991533818946
dry,0.18,0.05625,0.0037999999999999996,-30.056060899640762
dry,0.18,0.05625,0.0038687499999999994,-30.169754892740226
dry,0.18,0.05625,0.0039375,-30.283075362955238
dry,0.18,0.05625,0.004006249999999999,-30.396024147988886
dry,0.18,0.05625,0.004075,-30.508603073508894
dry,0.18,0.05625,0.00414375,-30.620813953245936
dry,0.18,0.05625,0.004212499999999999,-30.732658589091074
dry,0.18,0.05625,0.0042812499999999995,-30.844138771192185
dry,0.18,0.05625,0.00435,-30.955256278049436
dry,0.18,0.05625,0.004418749999999999,-31.06601287660996
dry,0.18,0.05625,0.0044875,-31.17641032236139
dry,0.18,0.05625,0.0045562499999999995,-31.286450359424745
dry,0.18,0.05625,0.004624999999999999,-31.396134720646156
dry,0.18,0.05625,0.00469375,-31.5054651276879
dry,0.18,0.05625,0.004762499999999999,-31.61444329111843
dry,0.18,0.05625,0.004831249999999999,-31.723070910501644
dry,0.18,0.05625,0.0049,-31.831349674485242
dry,0.18,0.05625,0.004968749999999999,-31.93928126088809
dry,0.18,0.05625,0.005037499999999999,-32.046867336787116
dry,0.18,0.05625,0.00510625,-32.15410955860294
dry,0.18,0.05625,0.005174999999999999,-32.261009572185
dry,0.18,0.05625,0.00524375,-32.36756901289563
dry,0.18,0.05625,0.0053124999999999995,-32.47378950569361
dry,0.18,0.05625,0.005381249999999999,-32.579672665216656
dry,0.18,0.05625,0.00545,-32.68522009586325
dry,0.18,0.05625,0.005518749999999999,-32.790433391873734
dry,0.18,0.05625,0.005587499999999999,-32.8953141374105
dry,0.18,0.05625,0.00565625,-32.99986390663751
dry,0.18,0.05625,0.005724999999999999,-33.10408426379913
dry,0.18,0.05625,0.0057937499999999986,-33.20797676329807
dry,0.18,0.05625,0.0058625,-33.31154294977264
dry,0.18,0.05625,0.005931249999999999,-33.41478435817339
dry,0.18,0.05625,0.006,-33.5177025138389
dry,0.18,0.059375000000000004,0.0005,-22.673826880823718
dry,0.18,0.059375000000000004,0.00056875,-22.813649671768477
dry,0.18,0.059375000000000004,0.0006375,-22.952962150544778
dry,0.18,0.059375000000000004,0.00070625,-23.09176710579837
dry,0.18,0.059375000000000004,0.000775,-23.23006730589343
dry,0.18,0.059375000000000004,0.00084375,-23.36786549909683
dry,0.18,0.059375000000000004,0.0009124999999999999,-23.50516441376001
dry,0.18,0.059375000000000004,0.00098125,-23.641966758499166
dry,0.18,0.059375000000000004,0.00105,-23.778275222373257
dry,0.18,0.059375000000000004,0.00111875,-23.914092475060315
dry,0.18,0.059375000000000004,0.0011875,-24.04942116703166
dry,0.18,0.059375000000000004,0.00125625,-24.184263929724366
dry,0.18,0.059375000000000004,0.0013249999999999998,-24.318623375711727
dry,0.18,0.059375000000000004,0.00139375,-24.452502098872134
dry,0.18,0.059375000000000004,0.0014624999999999998,-24.585902674555893
dry,0.18,0.059375000000000004,0.0015312499999999998,-24.718827659750396
dry,0.18,0.059375000000000004,0.0015999999999999999,-24.851279593243433
dry,0.18,0.059375000000000004,0.0016687499999999999,-24.983260995784942
dry,0.18,0.059375000000000004,0.0017375,-25.114774370246842
dry,0.18,0.059375000000000004,0.00180625,-25.24582220178129
dry,0.18,0.059375000000000004,0.001875,-25.376406957977146
dry,0.18,0.059375000000000004,0.0019437499999999997,-25.50653108901496
dry,0.18,0.059375000000000004,0.0020124999999999995,-25.63619702782013
dry,0.18,0.059375000000000004,0.0020812499999999998,-25.76540719021457
dry,0.18,0.059375000000000004,0.00215,-25.894163975066732
dry,0.18,0.059375000000000004,0.00221875,-26.022469764440107
