state,phi_total,phi_mc_abs,delta_lambda_pct
dry,0.055,0.00105,-4.189023905295833
dry,0.055,0.00111875,-4.451019226170263
dry,0.055,0.0011875,-4.711576133221737
dry,0.055,0.00125625,-4.970706439849044
dry,0.055,0.0013249999999999998,-5.228421830442791
dry,0.055,0.00139375,-5.484733862141623
dry,0.055,0.0014624999999999998,-5.739653966559929
dry,0.055,0.0015312499999999998,-5.993193451487215
dry,0.055,0.0015999999999999999,-6.2453635025603855
dry,0.055,0.0016687499999999999,-6.496175184908526
dry,0.055,0.0017375,-6.745639444771571
dry,0.055,0.00180625,-6.993767111092637
dry,0.055,0.001875,-7.240568897085112
dry,0.055,0.0019437499999999997,-7.4860554017744265
dry,0.055,0.0020124999999999995,-7.730237111515404
dry,0.055,0.0020812499999999998,-7.97312440148553
dry,0.055,0.00215,-8.214727537154324
dry,0.055,0.00221875,-8.455056675729633
dry,0.055,0.0022874999999999996,-8.694121867581114
dry,0.055,0.00235625,-8.93193305764126
dry,0.055,0.0024249999999999996,-9.168500086784302
dry,0.055,0.00249375,-9.403832693183901
dry,0.055,0.0025624999999999997,-9.637940513649175
dry,0.055,0.00263125,-9.870833084940331
dry,0.055,0.0026999999999999997,-10.102519845063608
dry,0.055,0.0027687499999999995,-10.333010134546273
dry,0.055,0.0028374999999999997,-10.562313197691724
dry,0.055,0.0029062499999999995,-10.790438183815652
dry,0.055,0.0029749999999999998,-11.017394148462744
dry,0.055,0.0030437499999999996,-11.243190054605005
dry,0.055,0.0031125,-11.467834773821686
dry,0.055,0.0031812499999999996,-11.691337087461193
dry,0.055,0.00325,-11.91370568778534
dry,0.055,0.0033187499999999997,-12.134949179096129
dry,0.055,0.0033874999999999995,-12.355076078845764
dry,0.055,0.0034562499999999997,-12.574094818729396
dry,0.055,0.0035249999999999995,-12.792013745761992
dry,0.055,0.0035937499999999997,-13.008841123338597
dry,0.055,0.0036624999999999995,-13.224585132278845
dry,0.055,0.0037312499999999998,-13.439253871855849
dry,0.055,0.0037999999999999996,-13.65285536080983
dry,0.055,0.0038687499999999994,-13.865397538346416
dry,0.055,0.0039375,-14.076888265120468
dry,0.055,0.004006249999999999,-14.287335324205083
dry,0.055,0.004075,-14.49674642204634
dry,0.055,0.00414375,-14.705129189404058
dry,0.055,0.004212499999999999,-14.912491182278616
dry,0.055,0.0042812499999999995,-15.118839882824386
dry,0.055,0.00435,-15.324182700249494
dry,0.055,0.004418749999999999,-15.528526971702723
dry,0.055,0.0044875,-15.731879963147456
dry,0.055,0.0045562499999999995,-15.934248870222838
dry,0.055,0.004624999999999999,-16.135640819092494
dry,0.055,0.00469375,-16.336062867281107
dry,0.055,0.004762499999999999,-16.535522004498713
dry,0.055,0.004831249999999999,-16.734025153453395
dry,0.055,0.0049,-16.931579170652185
dry,0.055,0.004968749999999999,-17.128190847190382
dry,0.055,0.005037499999999999,-17.323866909529926
dry,0.055,0.00510625,-17.5186140202664
dry,0.055,0.005174999999999999,-17.712438778885165
dry,0.055,0.00524375,-17.90534772250702
dry,0.055,0.0053124999999999995,-18.097347326622987
dry,0.055,0.005381249999999999,-18.28844400581894
dry,0.055,0.00545,-18.47864411449003
dry,0.055,0.005518749999999999,-18.66795394754489
dry,0.055,0.005587499999999999,-18.856379741100266
dry,0.055,0.00565625,-19.04392767316569
dry,0.055,0.005724999999999999,-19.23060386431871
dry,0.055,0.0057937499999999986,-19.41641437837075
dry,0.055,0.0058625,-19.601365223023663
dry,0.055,0.005931249999999999,-19.785462350517225
dry,0.055,0.006,-19.968711658267726
dry,0.0575,0.0005,-2.033309784405669
dry,0.0575,0.00056875,-2.306400366222287
dry,0.0575,0.0006375,-2.57796275904728
