contrast,phi_total,basic,dual
brine/dry,0.10750000000000001,1.0851333297317711,1.0777699334480413
oil/dry,0.10750000000000001,1.0197617814220803,1.0180957059664153
brine/oil,0.10750000000000001,1.064104724751038,1.0586135734901083
brine/dry,0.11,1.0871215701255108,1.0796454434929552
oil/dry,0.11,1.0202031384521857,1.018514959645894
brine/oil,0.11,1.0655932423172618,1.0600192302215319
brine/dry,0.1125,1.0891111394386874,1.0815228855823311
oil/dry,0.1125,1.0206439802774758,1.01893392913221
brine/oil,0.1125,1.06708231321033,1.0614259223887321
brine/dry,0.115,1.0911021037025794,1.0834023192442583
oil/dry,0.115,1.0210843269369994,1.019352631548264
brine/oil,0.115,1.0685719826643663,1.0628336904361657
brine/dry,0.11750000000000001,1.0930945292715808,1.0852838043745658
oil/dry,0.11750000000000001,1.0215241984277432,1.0197710840142329
brine/oil,0.11750000000000001,1.0700622960806934,1.0642425750124707
brine/dry,0.12000000000000001,1.0950884828316099,1.0871674012444865
oil/dry,0.12000000000000001,1.021963614707659,1.0201893036499339
brine/oil,0.12000000000000001,1.0715532990329297,1.0656526169750309
brine/dry,0.1225,1.0970840314086179,1.0890531705084232
oil/dry,0.1225,1.0224025956986837,1.0206073075771893
brine/oil,0.1225,1.0730450372721312,1.067063857394591
brine/dry,0.125,1.0990812423771978,1.0909411732118208
oil/dry,0.125,1.022841161289753,1.0210251129221968
brine/oil,0.125,1.0745375567319855,1.068476337559928
brine/dry,0.1275,1.1010801834692963,1.092831470799145
oil/dry,0.1275,1.023279331339808,1.021442736817907
brine/oil,0.1275,1.076030903534054,1.069890098982577
brine/dry,0.13,1.10308092278303,1.0947241251219733
oil/dry,0.13,1.023717125680796,1.0218601964064051
brine/oil,0.13,1.0775251239930712,1.071305183401614
brine/dry,0.1325,1.1050835287916123,1.096619198447198
oil/dry,0.1325,1.0241545641206704,1.0222775088413014
brine/oil,0.1325,1.0790202646222904,1.072721632788497
brine/dry,0.135,1.1070880703523887,1.0985167534653446
oil/dry,0.135,1.024591666446385,1.0226946912901282
brine/oil,0.135,1.080516372138891,1.0741394893519658
brine/dry,0.1375,1.1090946167159845,1.1004168532990082
oil/dry,0.1375,1.0250284524268847,1.0231117609367455
brine/oil,0.1375,1.0820134934694374,1.0755587955430044
brine/dry,0.14,1.111103237535574,1.1023195615114096
oil/dry,0.14,1.0254649418160984,1.0235287349837554
brine/oil,0.14,1.0835116757553993,1.0769795940598625
brine/dry,0.14250000000000002,1.1131140028762627,1.104224942115077
oil/dry,0.14250000000000002,1.02590115435593,1.0239456306549268
brine/oil,0.14250000000000002,1.0850109663587284,1.0784019278531445
brine/dry,0.14500000000000002,1.1151269832245974,1.106133059580651
oil/dry,0.14500000000000002,1.02633710977925,1.024362465197631
brine/oil,0.14500000000000002,1.086511412867498,1.0798258401309577
brine/dry,0.14750000000000002,1.117142249498196,1.1080439788458212
oil/dry,0.14750000000000002,1.0267728278128878,1.0247792558852877
brine/oil,0.14750000000000002,1.088013063101604,1.0812513743641332
brine/dry,0.15000000000000002,1.1191598730555101,1.109957765324393
